customer,instance_name,uri,servicename,healthcheck_flag,remote_name,status,final_status,transaction_date,hour,partner,transaction_count,bytes_sent,bytes_received
Thoughtmix,api-gateway-38,/customers/6444,InventoryModule,False,SalesforceCRM,Pending,Failed,2021-02-22,16,Partner1,791,230739,651168
Flashset,api-gateway-41,/customers/6092,GoogleMapsAPI,True,SensorArrayA1,Failed,Pending,2022-01-21,4,Partner4,818,257815,479563
Realblab,api-gateway-66,/customers/2169,CatalogService,False,KongGateway,Completed,Failed,2020-06-05,19,Partner4,707,311766,775247
Zoovu,api-gateway-20,/customers/3845,InventoryModule,False,AWS_S3,Pending,Pending,2021-09-03,23,Partner2,552,287143,140559
Babbleset,api-gateway-63,/customers/7425,OrderManagementService,True,Server42,Completed,Failed,2021-12-03,9,Partner8,734,476900,872941
Eadel,api-gateway-30,/customers/4221,OrderManagementService,False,Server42,Pending,Pending,2020-10-15,15,Partner2,108,750419,591468
Yamia,api-gateway-61,/customers/3894,UserService,True,SalesforceCRM,Completed,Pending,2020-01-17,11,Partner1,520,134117,893922
Quinu,api-gateway-45,/customers/7114,UserService,False,DBCluster01,Completed,Failed,2022-07-04,9,Partner7,741,541918,202110
Meembee,api-gateway-85,/customers/0370,NotificationEngine,True,AuthService,Pending,Completed,2021-07-18,22,Partner9,10,262878,965763
Jabbertype,api-gateway-11,/customers/0720,UserService,False,BillingService,Pending,Completed,2022-03-01,19,Partner7,374,859092,127785
Realbuzz,api-gateway-52,/customers/5803,ConfigService,False,AuthService,Pending,Pending,2021-10-18,14,Partner3,329,179268,413429
Eare,api-gateway-20,/customers/0815,ConfigService,False,ApigeeEdge,Completed,Failed,2020-11-06,18,Partner5,203,767365,538111
Jatri,api-gateway-49,/customers/4190,GoogleMapsAPI,True,AWS_S3,Failed,Pending,2021-04-28,15,Partner8,216,568459,964333
Meeveo,api-gateway-08,/customers/1020,LoggingService,True,AuthService,Completed,Completed,2020-07-05,4,Partner5,131,249335,508391
Fiveclub,api-gateway-21,/customers/9573,UserService,False,KongGateway,Failed,Pending,2022-04-14,20,Partner1,911,423188,352250
Eire,api-gateway-83,/customers/7882,PaymentGateway,True,DBCluster01,Pending,Completed,2022-05-12,5,Partner2,772,424776,803551
Meezzy,api-gateway-44,/customers/2054,ConfigService,True,ApigeeEdge,Completed,Completed,2020-07-13,15,Partner6,684,285951,493026
Edgepulse,api-gateway-70,/customers/8468,CatalogService,True,BillingService,Pending,Completed,2021-05-16,19,Partner9,222,132480,320244
Gevee,api-gateway-14,/customers/7728,NotificationEngine,False,AzureBlobStorage,Pending,Failed,2020-02-25,11,Partner7,958,830829,894820
InnoZ,api-gateway-19,/customers/6489,OrderManagementService,False,AzureBlobStorage,Completed,Failed,2022-08-17,4,Partner9,157,145173,883689
Zooveo,api-gateway-97,/customers/8235,GoogleMapsAPI,False,BillingService,Failed,Failed,2020-05-30,6,Partner8,344,191284,908349
Zoonder,api-gateway-65,/customers/6605,LoggingService,True,SensorArrayA1,Failed,Failed,2020-12-07,6,Partner9,83,841546,319662
Dabshots,api-gateway-48,/customers/3389,ConfigService,False,AzureBlobStorage,Completed,Pending,2021-11-01,7,Partner4,413,44629,124128
Lajo,api-gateway-01,/customers/9393,DatabaseProxyService,False,SalesforceCRM,Pending,Failed,2022-10-25,13,Partner2,891,901823,17204
Flipopia,api-gateway-30,/customers/8630,NotificationEngine,False,GooglePubSub,Completed,Pending,2022-08-15,15,Partner6,547,656477,136082
